,champion_name,champion_class,patch,y_true,y_pred,error,abs_error
596,Rengar,Assassin,14.23,-3.1299999999999955,-1.3249087,-1.8050912666320755,1.8050912666320755
536,Riven,Fighter,14.20,0.0,0.36783606,-0.367836058139801,0.367836058139801
456,Rumble,Unknown,14.18,-2.960000000000001,-1.1324272,-1.827572784423829,1.827572784423829
581,Rumble,Unknown,14.22,1.8100000000000023,1.8945525,-0.08455246925353777,0.08455246925353777
434,Ryze,Mage,14.17,2.6000000000000014,0.82552755,1.7744724512100234,1.7744724512100234
420,Senna,Unknown,14.16,2.3699999999999974,1.6238014,0.7461986494064305,0.7461986494064305
435,Senna,Unknown,14.17,-0.9699999999999989,-0.96666926,-0.0033307385444629745,0.0033307385444629745
559,Senna,Unknown,14.21,-1.0600000000000023,-1.6705488,0.6105487966537453,0.6105487966537453
436,Seraphine,Support,14.17,-0.09000000000000341,-0.06461848,-0.025381516814235283,0.025381516814235283
582,Seraphine,Support,14.22,0.3200000000000003,0.26170683,0.05829317092895536,0.05829317092895536
583,Shen,Tank,14.22,0.28000000000000114,0.513236,-0.23323598623275643,0.23323598623275643
597,Shyvana,Unknown,14.23,-2.5700000000000003,-0.040759,-2.5292409990727904,2.5292409990727904
537,Singed,Unknown,14.20,0.39000000000000057,-0.412283,0.8022830033302313,0.8022830033302313
560,Sivir,Unknown,14.21,-0.730000000000004,0.48471612,-1.2147161173820535,1.2147161173820535
421,Skarner,Unknown,14.16,1.6799999999999997,-0.1665376,1.846537597775459,1.846537597775459
457,Smolder,Unknown,14.18,-2.1099999999999994,-1.2100548,-0.899945244789123,0.899945244789123
598,Smolder,Unknown,14.23,2.1300000000000026,2.0791519,0.05084813117981213,0.05084813117981213
561,Swain,Unknown,14.21,-1.4799999999999969,-2.002598,0.5225980472564729,0.5225980472564729
584,Swain,Unknown,14.22,3.0799999999999983,3.2062113,-0.12621132850647143,0.12621132850647143
603,Swain,Unknown,14.24,-1.4100000000000037,-1.5855016,0.1755015516281091,0.1755015516281091
422,Sylas,Unknown,14.16,2.8699999999999974,1.4030935,1.4669065427780126,1.4669065427780126
437,Sylas,Unknown,14.17,-0.25,-0.31840828,0.06840828061103821,0.06840828061103821
585,Sylas,Unknown,14.22,-2.3000000000000043,-2.5448895,0.24488945007323792,0.24488945007323792
423,Syndra,Mage,14.16,0.509999999999998,-0.041509535,0.551509535163639,0.551509535163639
586,Syndra,Mage,14.22,0.1599999999999966,0.0048088618,0.15519113823771136,0.15519113823771136
562,Talon,Assassin,14.21,0.5,0.63588023,-0.1358802318572998,0.1358802318572998
604,Talon,Assassin,14.24,-0.6499999999999986,-0.7788459,0.12884590625763082,0.12884590625763082
563,Teemo,Unknown,14.21,2.1999999999999957,1.407744,0.7922559499740558,0.7922559499740558
599,Teemo,Unknown,14.23,-1.3900000000000006,-1.1766102,-0.21338976860046444,0.21338976860046444
465,Tristana,Marksman,14.19,-0.13999999999999346,-1.7673291,1.627329096794135,1.627329096794135
538,Tristana,Marksman,14.20,2.3499999999999943,2.3684723,-0.018472337722784005,0.018472337722784005
539,Tryndamere,Unknown,14.20,-1.0100000000000051,0.034192674,-1.0441926738619856,1.0441926738619856
540,Udyr,Unknown,14.20,2.039999999999999,0.65044445,1.389555552005767,1.389555552005767
438,Varus,Marksman,14.17,0.13000000000000256,-0.42294246,0.552942459583285,0.552942459583285
458,Varus,Marksman,14.18,0.06999999999999318,0.14063178,-0.07063178002835002,0.07063178002835002
587,Varus,Marksman,14.22,0.6900000000000048,0.7450072,-0.05500721693038457,0.05500721693038457
588,Vayne,Marksman,14.22,-0.2700000000000031,0.38047963,-0.6504796338081391,0.6504796338081391
424,Vi,Unknown,14.16,-1.740000000000002,0.29981902,-2.0398190224170705,2.0398190224170705
459,Vi,Unknown,14.18,-0.9100000000000037,-0.69680446,-0.2131955361366309,0.2131955361366309
589,Vi,Unknown,14.22,1.0700000000000003,0.9638104,0.10618961572647123,0.10618961572647123
460,Viego,Unknown,14.18,-0.5,0.75050336,-1.2505033612251282,1.2505033612251282
564,Viego,Unknown,14.21,-0.3100000000000023,-0.8626641,0.5526641035079933,0.5526641035079933
565,Volibear,Unknown,14.21,-1.3900000000000006,0.37220532,-1.7622053170204168,1.7622053170204168
590,Warwick,Unknown,14.22,-0.0800000000000054,0.4791256,-0.5591255891323144,0.5591255891323144
605,Warwick,Unknown,14.24,1.1900000000000048,1.5710146,-0.38101464271544927,0.38101464271544927
566,Xayah,Marksman,14.21,2.3599999999999994,0.47448406,1.8855159437656397,1.8855159437656397
541,Yasuo,Unknown,14.20,-1.7100000000000009,-0.14548431,-1.5645156866312036,1.5645156866312036
542,Yone,Unknown,14.20,-1.3899999999999935,-0.041986752,-1.348013247698539,1.348013247698539
462,Zeri,Unknown,14.18,-0.07000000000000028,-0.022729611,-0.04727038897573976,0.04727038897573976
463,Ziggs,Mage,14.18,0.010000000000005116,0.7941276,-0.784127583503718,0.784127583503718
